モデル名,初期実効容量(kWh),出力(kW),効率(%),システム生涯蓄電容量,AI活用,過積載kW,PCS定格出力
ESS-E1M1,6.8,4,81.6,33575,,,
ESS-E1L1,8.6,5.9,85.7,43447,,,
KPBP-A-PKG-MM6,14.1,5.9,89.8,67821,,,
KPBP-A-PKG-MM7,8.4,4,87.4,40404,,,
KPBP-A-PKG-MM8,5.5,2.5,87.3,26455,,,
KPBP-A-PKG-MM9,10.9,5,87.2,54084,,,
KPBP-A-PKG-MM10,5.3,2.5,85.7,26297,,,
KPBP-A-PKG-MM17,5.5,2.5,85.9,27119,,,
KPBP-A-PKG-MM18,8.3,4,89.2,40926,,,
EGS-MC0550,4.7,1.5,83.9,17684,,,
EGS-MC1100,9.4,3,83.9,35368,,,
EGS-MC1650,14.1,4.5,83.9,53052,,,
EP Cube HES-JP2-606G,6.2,5.9,79.2,29000,,,
EP Cube HES-JP2-610G,9.4,5.9,84.5,44000,,,
EP Cube HES-JP2-613G,12.6,5.9,86.9,60000,,,
EP Cube2 JE-S-5G,4.5,2,74.8,22000,,,
EP Cube2 JE-S-10G,9.4,5,80.2,44000,,,
EP Cube2 JE-S-15G,14.4,5.9,83.5,67000,,,
EP Cube2 JE-S-20G,19.3,5.9,84.8,89000,,,
PDR-5900S01A-X,12.3,5.9,86.7,63096,,,
PDR-5900S01A-M,7.3,4,84.4,36611,,,
HWJ-BT1-H5B05,4.5,2.4,91,23000,,,
HWJ-BT1-H5B10,9,5.2,92.9,46000,,,
HWJ-BT1-H5B15,13.5,5.9,94.5,69000,,,
HWJ-BT1-H5B20,17.4,5.9,94.3,92000,,,
