プラン名,時間帯名称,開始時間,終了時間,買電単価,対象月,対象日,再エネ賦課金
東京電力夜トク８,昼間,7,23,42.6,all,all,3.98
東京電力夜トク８,夜間,23,7,31.64,all,all,3.98
東京電力夜トク１２,昼間,9,21,44.16,all,all,3.98
東京電力夜トク１２,夜間,21,9,33.33,all,all,3.98
関西電力はぴｅタイムＲ,リビングタイム１,7,10,22.8,all,all,3.98
関西電力はぴｅタイムＲ,デイタイム夏季,10,17,28.87,7-9,all,3.98
関西電力はぴｅタイムＲ,デイタイムその他,10,17,26.24,"10,11,12,1,2,3,4,5,6",all,3.98
関西電力はぴｅタイムＲ,リビングタイム２,17,23,22.8,all,all,3.98
関西電力はぴｅタイムＲ,ナイトタイム,23,7,15.37,all,all,3.98
ほくでんエネとくスマートプラン,日中,8,22,38.22,all,平日,3.98
ほくでんエネとくスマートプラン,夜間・日祝,0,24,29.44,all,休日,3.98
ほくでんエネとくスマートプラン,夜間・日祝,8,22,29.44,all,平日,3.98
東北電力よりそう＋スマートタイム,平日昼間,8,22,36.86,all,平日,3.98
東北電力よりそう＋スマートタイム,休日・夜間,0,24,29.86,all,休日,3.98
東北電力よりそう＋スマートタイム,休日・夜間,8,22,29.86,all,平日,3.98
北陸電力くつろぎナイト１２,昼間時間（夏季料金）,8,20,39.87,7-9,平日,3.98
北陸電力くつろぎナイト１２,夜間時間,20,8,39.87,all,all,3.98
北陸電力くつろぎナイト１２,ウィークエンド時間,20,8,33.8,all,休日,3.98
北陸電力くつろぎナイト１２,昼間時間（その他季料金）,8,20,39.87,"10,11,12,1,2,3,4,5,6",平日,3.98
中部電力スマートライフプラン,デイタイム,10,17,38.8,all,平日,3.98
中部電力スマートライフプラン,アットホームタイム平日,17,22,28.61,all,平日,3.98
中部電力スマートライフプラン,ナイトタイム平日,22,8,16.52,all,平日,3.98
中部電力スマートライフプラン,アットホームタイム土日祝日,8,22,28.61,all,休日,3.98
中部電力スマートライフプラン,ナイトタイム土日祝日,22,8,16.52,all,休日,3.98
中国電力電化Styleコース,デイタイム夏季,9,21,46.46,7-9,平日,3.98
中国電力電化Styleコース,デイタイムその他,9,21,44.4,"10,11,12,1,2,3,4,5,6",平日,3.98
中国電力電化Styleコース,ナイトタイム,21,9,30.35,all,平日,3.98
中国電力電化Styleコース,ホリデータイム,0,24,30.35,all,休日,3.98
中国電力ナイトホリデーコース,デイタイム夏季,9,21,49.44,7-9,平日,3.98
中国電力ナイトホリデーコース,デイタイムその他,9,21,46.98,"10,11,12,1,2,3,4,5,6",平日,3.98
中国電力ナイトホリデーコース,ナイトタイム,21,9,34.65,all,平日,3.98
中国電力ナイトホリデーコース,ホリデータイム,0,24,34.65,all,休日,3.98
四国電力でんかeプラン,平日昼間,9,23,42.97,all,平日,3.98
四国電力でんかeプラン,休日,0,24,33.98,all,休日,3.98
四国電力でんかeプラン,平日夜間,23,9,33.98,all,平日,3.98
九州電力電化でナイト・セレクト,平日昼間夏・冬,8,22,27.63,"1,2,7,8,9,12",平日,3.98
九州電力電化でナイト・セレクト,平日昼間春・秋,8,22,24.74,"3,4,5,6,10,11",平日,3.98
九州電力電化でナイト・セレクト,夜間,22,8,14.59,all,all,3.98
九州電力電化でナイト・セレクト,休日昼間夏・冬,8,22,22.01,"1,2,7,8,9,12",休日,3.98
九州電力電化でナイト・セレクト,休日昼間春・秋,8,22,18.61,"3,4,5,6,10,11",休日,3.98
沖縄電力Eeスマート,昼間時間,7,23,45.32,all,all,3.98
沖縄電力Eeスマート,夜間時間,23,7,34.77,all,all,3.98
